Provinsi,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (km2),Rasio Jenis Kelamin Penduduk
Aceh,"5 371,5","1,93","2,00",93,"99,9"
Sumatera Utara,"14 562,5","1,24","5,43",200,"99,6"
Sumatera Barat,"5 441,2","1,25","2,03",130,"99,4"
Riau,"6 971,7","2,52","2,60",80,"105,2"
Jambi,"3 624,6","1,72","1,35",72,"104,1"
Sumatera Selatan,"8 470,7","1,39","3,16",92,"103,3"
Bengkulu,"1 991,8","1,63","0,74",100,"103,9"
Lampung,"8 447,7","1,13","3,15",244,"104,9"
Kepulauan Bangka Belitung,"1 488,8","2,14","0,56",91,"108,4"
Kepulauan Riau,"2 189,7","2,90","0,82",267,"103,9"
DKI Jakarta,"10 557,8","1,02","3,94",15 900,"100,2"
Jawa Barat,"49 316,7","1,48","18,40",1 394,"102,5"
Jawa Tengah,"34 718,2","0,76","12,95",1 058,"98,3"
DI Yogyakarta,"3 842,9","1,15","1,43",1 227,"98,0"
Jawa Timur,"39 698,6","0,62","14,81",831,"97,5"
Banten,"12 927,3","2,14","4,82",1 338,"103,8"
Bali,"4 336,9","1,17","1,62",750,"101,5"
Nusa Tenggara Barat,"5 070,4","1,29","1,89",273,"94,4"
Nusa Tenggara Timur,"5 456,2","1,66","2,04",112,"98,1"
Kalimantan Barat,"5 069,1","1,56","1,89",34,"103,5"
Kalimantan Tengah,"2 714,9","2,26","1,01",18,"109,7"
Kalimantan Selatan,"4 244,1","1,71","1,58",110,"103,0"
Kalimantan Timur,"3 721,4","2,24","1,39",29,"110,2"
Kalimantan Utara,"742,2","3,84","0,28",10,"112,8"
Sulawesi Utara,"2 507,0","1,07","0,94",181,"104,1"
Sulawesi Tengah,"3 054,0","1,61","1,14",49,"104,2"
Sulawesi Selatan,"8 851,2","1,05","3,30",189,"95,6"
Sulawesi Tenggara,"2 704,7","2,10","1,01",71,"101,2"
Gorontalo,"1 202,6","1,58","0,45",107,"100,4"
Sulawesi Barat,"1 380,3","1,91","0,51",82,"100,8"
Maluku,"1 802,9","1,75","0,67",38,"101,6"
Maluku Utara,"1 255,8","2,08","0,47",39,"104,0"
Papua Barat,"959,6","2,55","0,36",9,"111,0"
Papua,"3 379,3","1,88","1,26",11,"110,6"
Indonesia,"268 074,6","1,31","100,00",140,"100,9"
